# Every migration the database goes through, in order. Columns: app	name	operations that carry code rather than schema changes (semicolon separated)	whether it runs in a transaction.
#
# The first 164 rows were recorded from the Django app this replaced, by running its migrations and capturing the statements. That app is gone, so they are now a frozen history: they describe migrations that have already run everywhere and cannot change. A new migration is appended here by hand, with its statements in sql/<app>/<name>.sql.
db	0085_intake_intakeissue_remove_inboxissue_created_by_and_more		atomic
db	0086_issueversion_alter_teampage_unique_together_and_more		atomic
db	0087_remove_issueversion_description_and_more		atomic
db	0088_sticky_sort_order_workspaceuserlink		atomic
db	0089_workspacehomepreference_and_more		atomic
db	0090_rename_dashboard_deprecateddashboard_and_more		atomic
db	0091_issuecomment_edited_at_and_more		atomic
db	0092_alter_deprecateddashboardwidget_unique_together_and_more		atomic
db	0093_page_moved_to_page_page_moved_to_project_and_more		atomic
db	0094_auto_20250425_0902	set_default_source_type	atomic
db	0095_page_external_id_page_external_source		atomic
db	0096_user_is_email_valid_user_masked_at		atomic
db	0097_project_external_id_project_external_source		atomic
db	0098_profile_is_app_rail_docked_and_more		atomic
db	0099_profile_background_color_profile_goals_and_more		atomic
db	0100_profile_has_marketing_email_consent_and_more		atomic
db	0101_description_descriptionversion		atomic
db	0102_page_sort_order_pagelog_entity_type_and_more		atomic
db	0103_fileasset_asset_entity_type_idx_and_more		non-atomic
db	0104_cycleuserproperties_rich_filters_and_more		atomic
db	0105_alter_project_cycle_view_and_more		atomic
db	0106_auto_20250912_0845	set_page_sort_order	atomic
db	0107_migrate_filters_to_rich_filters	migrate_filters_to_rich_filters	atomic
db	0108_alter_issueactivity_issue_comment		atomic
db	0109_issuecomment_description_and_parent_id		atomic
db	0110_workspaceuserproperties_navigation_control_preference_and_more		atomic
db	0111_notification_notif_receiver_status_idx_and_more		non-atomic
db	0112_auto_20251124_0603	create_triage_state	atomic
db	0113_webhook_version	populate_product_tour	atomic
db	0114_projectuserproperty_delete_issueuserproperty_and_more		atomic
db	0115_auto_20260105_1406	move_issue_user_properties_to_project_user_properties;migrate_existing_api_tokens	atomic
db	0116_workspacemember_explored_features_and_more		atomic
db	0117_rename_description_draftissue_description_json_and_more		atomic
db	0118_remove_workspaceuserproperties_product_tour_and_more	migrate_all_the_product_tour_to_true	atomic
db	0119_alter_estimatepoint_key		atomic
db	0120_issueview_archived_at		atomic
db	0121_alter_estimate_type		atomic
db	0122_alter_draftissue_assignees_alter_issue_assignees_and_more		atomic
db	0123_notification_notif_receiver_unread_idx		non-atomic
django_celery_beat	0001_initial		atomic
django_celery_beat	0002_auto_20161118_0346		atomic
django_celery_beat	0003_auto_20161209_0049		atomic
django_celery_beat	0004_auto_20170221_0000		atomic
django_celery_beat	0005_add_solarschedule_events_choices		atomic
django_celery_beat	0006_auto_20180322_0932		atomic
django_celery_beat	0007_auto_20180521_0826		atomic
django_celery_beat	0008_auto_20180914_1922		atomic
django_celery_beat	0006_auto_20180210_1226		atomic
django_celery_beat	0006_periodictask_priority		atomic
django_celery_beat	0009_periodictask_headers		atomic
django_celery_beat	0010_auto_20190429_0326		atomic
django_celery_beat	0011_auto_20190508_0153		atomic
django_celery_beat	0012_periodictask_expire_seconds		atomic
django_celery_beat	0013_auto_20200609_0727		atomic
django_celery_beat	0014_remove_clockedschedule_enabled		atomic
django_celery_beat	0015_edit_solarschedule_events_choices		atomic
django_celery_beat	0016_alter_crontabschedule_timezone		atomic
django_celery_beat	0017_alter_crontabschedule_month_of_year		atomic
django_celery_beat	0018_improve_crontab_helptext		atomic
django_celery_beat	0019_alter_periodictasks_options		atomic
license	0001_initial		atomic
license	0002_rename_version_instance_current_version_and_more		atomic
license	0003_alter_changelog_title_alter_changelog_version_and_more		atomic
license	0004_changelog_deleted_at_instance_deleted_at_and_more		atomic
license	0005_rename_product_instance_edition_and_more		atomic
license	0006_instance_is_current_version_deprecated		atomic
sessions	0001_initial		atomic
